time_created,Blog,Bookmark,Comment,Discussion,Discussion Reply,File,Idea,mission_accepted,mission_applied,mission_offered,user
2009-06-30,0.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0
2009-07-02,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2009-07-03,2.0,5.0,8.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,9.0
2009-07-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-06,1.0,4.0,7.0,10.0,12.0,2.0,0.0,0.0,0.0,0.0,22.0
2009-07-07,1.0,3.0,7.0,3.0,8.0,10.0,0.0,0.0,0.0,0.0,9.0
2009-07-08,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0
2009-07-09,0.0,1.0,5.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,3.0
2009-07-10,1.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0
2009-07-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-13,1.0,3.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0
2009-07-14,3.0,5.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,13.0
2009-07-15,0.0,3.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0
2009-07-16,1.0,7.0,25.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,11.0
2009-07-17,1.0,2.0,15.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0
2009-07-20,0.0,3.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0
2009-07-21,1.0,3.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,14.0
2009-07-22,2.0,2.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0
2009-07-23,0.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,15.0
2009-07-24,2.0,9.0,5.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,16.0
2009-07-27,1.0,2.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0
2009-07-28,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
2009-07-29,0.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0
2009-07-30,0.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,19.0
2009-07-31,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0
2009-08-03,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2009-08-04,1.0,0.0,3.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,5.0
2009-08-05,0.0,0.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0
2009-08-06,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0
2009-08-07,1.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2009-08-10,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0
2009-08-11,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
2009-08-12,0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0
2009-08-13,0.0,2.0,0.0,5.0,14.0,1.0,0.0,0.0,0.0,0.0,4.0
2009-08-14,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
2009-08-17,0.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0
2009-08-18,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0
2009-08-19,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
2009-08-20,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
2009-08-21,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
2009-08-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-24,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
2009-08-25,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0
2009-08-26,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
2009-08-27,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2009-08-28,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
2009-08-31,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0
2009-09-02,0.0,3.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0
2009-09-03,0.0,1.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,14.0
2009-09-04,2.0,0.0,7.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0
2009-09-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2009-09-08,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0
2009-09-09,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
2009-09-10,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
2009-09-11,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2009-09-14,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
2009-09-15,1.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0
2009-09-16,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0
2009-09-17,1.0,1.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0
2009-09-18,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
2009-09-19,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
